date,end_date,name,country_code,year,status,date_status,source_urls
2027-01-01,,नववर्ष दिवस,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html
2027-02-05,2027-02-08,चीनी नववर्ष,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2027-02-07,,7 फरवरी स्मृति दिवस,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-03-08,,अंतर्राष्ट्रीय महिला दिवस,CN,2027,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-03-12,,वृक्षारोपण दिवस,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/zhengce/2019-12/28/content_5464840.htm
2027-04-05,,छिंगमिंग उत्सव,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2027-05-01,2027-05-02,श्रम दिवस,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html
2027-05-04,,युवा दिवस,CN,2027,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-05-12,,अंतर्राष्ट्रीय नर्स दिवस,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/zhengce/zhengceku/2020-05/26/content_5515100.htm
2027-05-30,,30 मई स्मृति दिवस,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-06-01,,बाल दिवस,CN,2027,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-06-09,,ड्रैगन बोट उत्सव,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2027-07-07,,7 जुलाई प्रतिरोध युद्ध स्मृति दिवस,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/yaowen/liebiao/202506/content_7029238.htm
2027-08-01,,सेना दिवस,CN,2027,discretionary,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html
2027-09-03,,चीनी जन प्रतिरोध युद्ध विजय दिवस,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/yaowen/liebiao/202506/content_7029238.htm
2027-09-10,,शिक्षक दिवस,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/zhengce/zhengceku/202508/content_7038098.htm
2027-09-15,,मध्य-शरद उत्सव,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2027.pdf https://www.hko.gov.hk/tc/gts/time/calendar/pdf/files/2028.pdf
2027-09-18,,18 सितंबर स्मृति दिवस,CN,2027,commemorative,confirmed,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/yaowen/liebiao/202506/content_7029238.htm
2027-09-30,,शहीद दिवस,CN,2027,commemorative,confirmed,https://www.gov.cn/yaowen/liebiao/202309/content_6907102.htm
2027-10-01,2027-10-03,राष्ट्रीय दिवस,CN,2027,statutory,estimated,https://www.gov.cn/gongbao/2024/issue_11726/202411/content_6989774.html https://www.gov.cn/gongbao/2025/issue_12406/202511/content_7048922.html
2027-12-13,,नानजिंग नरसंहार पीड़ित राष्ट्रीय स्मृति दिवस,CN,2027,commemorative,confirmed,https://www.gov.cn/yaowen/liebiao/202412/content_6992401.htm
