date,end_date,name,country_code,year,status,date_status,source_urls
2026-01-01,,गणतंत्र चीन स्थापना दिवस,TW,2026,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2026-01-19,,अग्निशमन दिवस,TW,2026,discretionary,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2026-02-04,,किसान दिवस,TW,2026,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.cwa.gov.tw/Data/astronomy/2026cal.pdf https://www.cwa.gov.tw/Data/astronomy/2027cal.pdf https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2026-02-15,,चंद्र नववर्ष की पूर्व संध्या से एक दिन पूर्व,TW,2026,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2026-02-16,,चंद्र नववर्ष की पूर्व संध्या,TW,2026,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2026-02-17,2026-02-19,चंद्र नववर्ष,TW,2026,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2026-02-17,,ताओ धर्म दिवस,TW,2026,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2026-02-20,,चंद्र नववर्ष अवकाश का प्रतिपूरक दिवस,TW,2026,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2026-02-27,,शांति स्मृति दिवस का प्रतिपूरक अवकाश,TW,2026,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2026-02-28,,शांति स्मृति दिवस,TW,2026,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
